AcX = 16764 | AcY = -728 | AcZ = -2332 | GyX = -3792 | GyY = -429 | GyZ = -4605
AcX = 16672 | AcY = -736 | AcZ = -2408 | GyX = -3808 | GyY = -432 | GyZ = -4561
AcX = 16772 | AcY = -732 | AcZ = -2084 | GyX = -3792 | GyY = -426 | GyZ = -4603
AcX = 16728 | AcY = -704 | AcZ = -2212 | GyX = -3792 | GyY = -389 | GyZ = -4545
AcX = 16776 | AcY = -420 | AcZ = -2108 | GyX = -3792 | GyY = -413 | GyZ = -4585
AcX = 16820 | AcY = -696 | AcZ = -2092 | GyX = -3808 | GyY = -432 | GyZ = -4602
AcX = 16620 | AcY = -724 | AcZ = -2128 | GyX = -3792 | GyY = -428 | GyZ = -4606
AcX = 16700 | AcY = -572 | AcZ = -2168 | GyX = -3792 | GyY = -443 | GyZ = -4605
AcX = 16656 | AcY = -856 | AcZ = -2272 | GyX = -3808 | GyY = -432 | GyZ = -4582
AcX = 16676 | AcY = -768 | AcZ = -2316 | GyX = -3824 | GyY = -422 | GyZ = -4603
AcX = 16788 | AcY = -808 | AcZ = -2260 | GyX = -3808 | GyY = -415 | GyZ = -4574
AcX = 16636 | AcY = -828 | AcZ = -2408 | GyX = -3808 | GyY = -425 | GyZ = -4614
AcX = 16704 | AcY = -624 | AcZ = -2196 | GyX = -3792 | GyY = -406 | GyZ = -4528
AcX = 16784 | AcY = -772 | AcZ = -2328 | GyX = -3792 | GyY = -425 | GyZ = -4586
AcX = 16800 | AcY = -668 | AcZ = -2212 | GyX = -3808 | GyY = -432 | GyZ = -4620
AcX = 16732 | AcY = -600 | AcZ = -2156 | GyX = -3824 | GyY = -418 | GyZ = -4602
AcX = 17116 | AcY = -264 | AcZ = -2800 | GyX = -3856 | GyY = -349 | GyZ = -5829
AcX = 16236 | AcY = 2716 | AcZ = -3716 | GyX = -3808 | GyY = -380 | GyZ = -4772
AcX = 15864 | AcY = 3804 | AcZ = -4624 | GyX = -3776 | GyY = -159 | GyZ = -4945
AcX = 15324 | AcY = 5932 | AcZ = -4860 | GyX = -3792 | GyY = -351 | GyZ = -4553
AcX = 14084 | AcY = 7836 | AcZ = -4868 | GyX = -3824 | GyY = -290 | GyZ = -5251
AcX = 12744 | AcY = 8280 | AcZ = -6788 | GyX = -3824 | GyY = -448 | GyZ = -4507
AcX = 13376 | AcY = 10304 | AcZ = -4116 | GyX = -3776 | GyY = -2012 | GyZ = -858
AcX = 11108 | AcY = 11180 | AcZ = -5664 | GyX = -3792 | GyY = -922 | GyZ = -3637
AcX = 9764 | AcY = 12420 | AcZ = -5248 | GyX = -3776 | GyY = -364 | GyZ = -4764
AcX = 7892 | AcY = 13528 | AcZ = -5188 | GyX = -3808 | GyY = -313 | GyZ = -4923
AcX = 6492 | AcY = 14540 | AcZ = -4088 | GyX = -3776 | GyY = -500 | GyZ = -4614
AcX = 4764 | AcY = 15088 | AcZ = -4240 | GyX = -3760 | GyY = -250 | GyZ = -4942
AcX = 2992 | AcY = 15776 | AcZ = -4288 | GyX = -3776 | GyY = -606 | GyZ = -4814
AcX = 1608 | AcY = 15644 | AcZ = -4220 | GyX = -3776 | GyY = -537 | GyZ = -4657
AcX = 636 | AcY = 15676 | AcZ = -3452 | GyX = -3776 | GyY = -323 | GyZ = -4742
AcX = -1060 | AcY = 15656 | AcZ = -3856 | GyX = -3792 | GyY = -576 | GyZ = -4714
AcX = -2720 | AcY = 15672 | AcZ = -3324 | GyX = -3776 | GyY = -609 | GyZ = -4565
AcX = -3476 | AcY = 15316 | AcZ = -3088 | GyX = -3776 | GyY = -201 | GyZ = -4750
AcX = -3968 | AcY = 15132 | AcZ = -3040 | GyX = -3760 | GyY = -316 | GyZ = -4647
